"model","target_end_date","target","season","coverage95","model_color"
"Flusight-baseline",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#d6936b"
"Flusight-baseline",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#d6936b"
"Flusight-baseline",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#d6936b"
"Flusight-baseline",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#d6936b"
"Flusight-baseline",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",0.788461538461538,"#d6936b"
"Flusight-baseline",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",0.711538461538462,"#d6936b"
"Flusight-baseline",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",0.788461538461538,"#d6936b"
"Flusight-baseline",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",0.711538461538462,"#d6936b"
"Flusight-baseline",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",0.730769230769231,"#d6936b"
"Flusight-baseline",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",0.711538461538462,"#d6936b"
"Flusight-baseline",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",0.711538461538462,"#d6936b"
"Flusight-baseline",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",0.788461538461538,"#d6936b"
"Flusight-baseline",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",0.653846153846154,"#d6936b"
"Flusight-baseline",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",0.75,"#d6936b"
"Flusight-baseline",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",0.653846153846154,"#d6936b"
"Flusight-baseline",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#d6936b"
"Flusight-baseline",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",0.730769230769231,"#d6936b"
"Flusight-baseline",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#d6936b"
"Flusight-baseline",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#d6936b"
"Flusight-baseline",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",0.769230769230769,"#d6936b"
"Flusight-baseline",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#d6936b"
"Flusight-baseline",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#d6936b"
"Flusight-baseline",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#d6936b"
"Flusight-baseline",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#d6936b"
"Flusight-baseline",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#d6936b"
"Flusight-baseline",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#d6936b"
"Flusight-baseline",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#d6936b"
"Flusight-baseline",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#d6936b"
"Flusight-baseline",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",0.865384615384615,"#d6936b"
"Flusight-baseline",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#d6936b"
"Flusight-baseline",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#d6936b"
"Flusight-baseline",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#d6936b"
"Flusight-baseline",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#d6936b"
"Flusight-baseline",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#d6936b"
"Flusight-baseline",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#d6936b"
"Flusight-baseline",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#d6936b"
"Flusight-baseline",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#d6936b"
"Flusight-baseline",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",0.596153846153846,"#d6936b"
"Flusight-baseline",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",0.519230769230769,"#d6936b"
"Flusight-baseline",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",0.596153846153846,"#d6936b"
"Flusight-baseline",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",0.346153846153846,"#d6936b"
"Flusight-baseline",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",0.461538461538462,"#d6936b"
"Flusight-baseline",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",0.269230769230769,"#d6936b"
"Flusight-baseline",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",0.192307692307692,"#d6936b"
"Flusight-baseline",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",0.0961538461538462,"#d6936b"
"Flusight-baseline",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",0.25,"#d6936b"
"Flusight-baseline",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",0.115384615384615,"#d6936b"
"Flusight-baseline",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#d6936b"
"Flusight-baseline",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",0.115384615384615,"#d6936b"
"Flusight-baseline",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",0.403846153846154,"#d6936b"
"Flusight-baseline",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#d6936b"
"Flusight-baseline",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#d6936b"
"Flusight-baseline",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",0.403846153846154,"#d6936b"
"Flusight-baseline",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#d6936b"
"Flusight-baseline",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",0.384615384615385,"#d6936b"
"Flusight-baseline",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#d6936b"
"Flusight-baseline",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",0.461538461538462,"#d6936b"
"Flusight-baseline",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",0.384615384615385,"#d6936b"
"Flusight-baseline",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",0.269230769230769,"#d6936b"
"Flusight-baseline",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",0.211538461538462,"#d6936b"
"Flusight-baseline",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",0.192307692307692,"#d6936b"
"Flusight-baseline",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",0.442307692307692,"#d6936b"
"Flusight-baseline",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#d6936b"
"Flusight-baseline",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-baseline",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",1,"#d6936b"
"Flusight-ensemble",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",0.980769230769231,"#6baed6"
"Flusight-ensemble",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#6baed6"
"Flusight-ensemble",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#6baed6"
"Flusight-ensemble",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",0.75,"#6baed6"
"Flusight-ensemble",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",0.692307692307692,"#6baed6"
"Flusight-ensemble",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#6baed6"
"Flusight-ensemble",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",0.673076923076923,"#6baed6"
"Flusight-ensemble",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#6baed6"
"Flusight-ensemble",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",0.692307692307692,"#6baed6"
"Flusight-ensemble",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",0.807692307692308,"#6baed6"
"Flusight-ensemble",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",0.673076923076923,"#6baed6"
"Flusight-ensemble",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#6baed6"
"Flusight-ensemble",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",0.615384615384615,"#6baed6"
"Flusight-ensemble",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",0.826923076923077,"#6baed6"
"Flusight-ensemble",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",0.788461538461538,"#6baed6"
"Flusight-ensemble",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#6baed6"
"Flusight-ensemble",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#6baed6"
"Flusight-ensemble",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",0.865384615384615,"#6baed6"
"Flusight-ensemble",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#6baed6"
"Flusight-ensemble",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#6baed6"
"Flusight-ensemble",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#6baed6"
"Flusight-ensemble",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#6baed6"
"Flusight-ensemble",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",0.846153846153846,"#6baed6"
"Flusight-ensemble",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",0.903846153846154,"#6baed6"
"Flusight-ensemble",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#6baed6"
"Flusight-ensemble",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",0.961538461538462,"#6baed6"
"Flusight-ensemble",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",0.865384615384615,"#6baed6"
"Flusight-ensemble",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#6baed6"
"Flusight-ensemble",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",0.923076923076923,"#6baed6"
"Flusight-ensemble",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#6baed6"
"Flusight-ensemble",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",0.826923076923077,"#6baed6"
"Flusight-ensemble",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",1,"#6baed6"
"Flusight-ensemble",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",0.884615384615385,"#6baed6"
"Flusight-ensemble",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#6baed6"
"Flusight-ensemble",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",0.942307692307692,"#6baed6"
"Flusight-ensemble",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",1,"#6baed6"
"Flusight-ensemble",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",0.865384615384615,"#6baed6"
"Flusight-ensemble",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#6baed6"
"Flusight-ensemble",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",0.692307692307692,"#6baed6"
"Flusight-ensemble",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",0.807692307692308,"#6baed6"
"Flusight-ensemble",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",0.211538461538462,"#6baed6"
"Flusight-ensemble",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",0.557692307692308,"#6baed6"
"Flusight-ensemble",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",0.211538461538462,"#6baed6"
"Flusight-ensemble",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",0.288461538461538,"#6baed6"
"Flusight-ensemble",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",0.211538461538462,"#6baed6"
"Flusight-ensemble",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#6baed6"
"Flusight-ensemble",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",0.153846153846154,"#6baed6"
"Flusight-ensemble",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",0.673076923076923,"#6baed6"
"Flusight-ensemble",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",0.288461538461538,"#6baed6"
"Flusight-ensemble",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",0.846153846153846,"#6baed6"
"Flusight-ensemble",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",0.538461538461538,"#6baed6"
"Flusight-ensemble",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",0.634615384615385,"#6baed6"
"Flusight-ensemble",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",0.942307692307692,"#6baed6"
"Flusight-ensemble",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",0.596153846153846,"#6baed6"
"Flusight-ensemble",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",0.653846153846154,"#6baed6"
"Flusight-ensemble",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",0.365384615384615,"#6baed6"
"Flusight-ensemble",2023-01-14,"4 wk ahead inc flu hosp","2022-2023",0.730769230769231,"#6baed6"
"Flusight-ensemble",2023-01-21,"1 wk ahead inc flu hosp","2022-2023",0.923076923076923,"#6baed6"
"Flusight-ensemble",2023-01-21,"4 wk ahead inc flu hosp","2022-2023",0.711538461538462,"#6baed6"
"Flusight-ensemble",2023-01-28,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-01-28,"4 wk ahead inc flu hosp","2022-2023",0.269230769230769,"#6baed6"
"Flusight-ensemble",2023-02-04,"1 wk ahead inc flu hosp","2022-2023",0.961538461538462,"#6baed6"
"Flusight-ensemble",2023-02-04,"4 wk ahead inc flu hosp","2022-2023",0.615384615384615,"#6baed6"
"Flusight-ensemble",2023-02-11,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-02-11,"4 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-02-18,"1 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-02-18,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-02-25,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-02-25,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-04,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-04,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-11,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-11,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-18,"1 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-03-18,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-25,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-03-25,"4 wk ahead inc flu hosp","2022-2023",0.980769230769231,"#6baed6"
"Flusight-ensemble",2023-04-01,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-01,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-08,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-08,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-15,"1 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-15,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-22,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-04-29,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
"Flusight-ensemble",2023-05-06,"4 wk ahead inc flu hosp","2022-2023",1,"#6baed6"
